"sAMAccountName","Enabled","created","LastLogonDate","Company","department","homephone"
"134018","False","31/07/2016 22:15:43","29/11/2016 04:29:40","F01 - Usina","UHT SIG","134018"
"056078","False","04/08/2016 10:07:50","26/09/2016 12:16:07",,,
"111471","False","29/07/2014 19:16:48","02/11/2016 14:43:28",,,
"117685","False","07/03/2016 08:26:47","01/01/2017 20:56:13","F01 - Usina","1111105 - ALMOXARIFADO","135374"
"132038","False","26/09/2015 03:01:35","22/11/2016 19:15:11","F01 - Usina","1112202 - UHT SIG","132038"
"139873","False","13/10/2016 10:39:28","22/11/2016 07:47:29","F01 - Usina","EXPED REFRIGERADOS","139873"
"061794","False","28/07/2015 09:43:03","27/06/2016 04:59:19",,,
"130978","False","24/03/2016 17:18:35",,"F01 - Usina","MASSA DOCE LT (TACHOS)","130978"
"123290","False","30/07/2014 08:52:33","08/04/2015 07:13:19",,,
"130038","False","08/09/2016 08:31:13",,,,
"124185","False","08/08/2014 16:51:56","17/11/2014 00:29:00",,,
"126059","False","11/05/2016 16:40:27","18/11/2016 21:37:42","F22 - Ivoti","1513303 - EXPEDICAO F22","126059"
"121923","False","30/07/2014 09:18:29","08/08/2014 10:45:41",,,
"109545","False","29/07/2014 19:00:16","14/12/2016 10:42:09","F01 - Usina","1114403 - EXPED REFRIGERADOS","109545"
"123293","False","30/07/2014 09:27:19","08/08/2014 10:48:23",,,
"123680","False","30/07/2014 09:29:09","02/03/2015 22:26:35",,,
"121902","False","30/07/2014 09:54:00","24/11/2014 09:01:13",,,
"123292","False","30/07/2014 09:06:58","02/04/2015 16:40:04",,,
"122329","False","30/07/2014 08:14:28","22/09/2015 00:13:54",,,
"122298","False","30/07/2014 08:15:14","06/07/2016 13:04:48",,,
"121907","False","30/07/2014 08:18:09","05/01/2017 09:18:35","F22 - Ivoti","1513303 - EXPEDICAO F22","121907"
"123489","False","30/07/2014 08:48:32","07/03/2016 12:37:41",,,
"121894","False","30/07/2014 09:04:49","01/07/2015 11:26:18",,,
"103297","False","08/09/2016 08:39:19","06/01/2017 08:39:21","F01 - Usina","1114403 - EXPED REFRIGERADOS","136354"
"123291","False","30/07/2014 09:09:20","28/11/2015 05:26:52",,,
"116517","False","20/05/2016 11:08:00","08/07/2016 20:19:23",,,
"122483","False","30/07/2014 09:31:46","10/08/2015 12:27:01",,,
"123681","False","08/08/2014 16:39:43","21/06/2016 22:00:30",,,
"125581","False","16/10/2014 17:32:39","28/09/2015 21:30:06",,,
"126890","False","19/12/2014 14:22:49","08/09/2016 15:00:08",,,
"127650","False","10/02/2015 14:20:48","19/01/2016 12:48:36",,,
"127652","False","10/02/2015 15:36:22","17/03/2016 12:35:44",,,
"128298","False","23/02/2015 09:32:04","09/02/2016 21:57:50",,,
"077462","False","22/11/2016 09:04:48","22/12/2016 21:24:57","F01 - Usina","1114403 - EXPED REFRIGERADOS","77462"
"123928","False","18/03/2015 16:47:15","25/03/2016 13:32:08",,,
"120793","False","18/03/2015 17:17:19","18/07/2016 04:45:30",,,
